회사명,회계년도,유통주식수 (발행주식의 총수 - 자기주식수)(주)
(주)노루페인트,10-Dec,20000000
(주)노루페인트,11-Dec,20000000
(주)노루페인트,12-Dec,20000000
(주)노루페인트,13-Dec,20000000
(주)노루페인트,14-Dec,20000000
(주)노루페인트,15-Dec,20000000
(주)노루페인트,16-Dec,20000000
(주)노루페인트,17-Dec,20000000
(주)노루페인트,18-Dec,20000000
(주)노루페인트,19-Dec,20000000
(주)노루페인트,20-Dec,20000000
(주)노루페인트,21-Dec,20000000
(주)대동,10-Dec,20728210
(주)대동,11-Dec,20728210
(주)대동,12-Dec,20728210
(주)대동,13-Dec,20728210
(주)대동,14-Dec,20728210
(주)대동,15-Dec,20728210
(주)대동,16-Dec,20728210
(주)대동,17-Dec,20728210
(주)대동,18-Dec,20728210
(주)대동,19-Dec,20728210
(주)대동,20-Dec,20728210
(주)대동,21-Dec,20728210
(주)삼천리,10-Dec,3584230
(주)삼천리,11-Dec,3563405
(주)삼천리,12-Dec,3563405
(주)삼천리,13-Dec,3563405
(주)삼천리,14-Dec,3563405
(주)삼천리,15-Dec,3563405
(주)삼천리,16-Dec,3563405
(주)삼천리,17-Dec,3563405
(주)삼천리,18-Dec,3563405
(주)삼천리,19-Dec,3563405
(주)삼천리,20-Dec,3424025
(주)삼천리,21-Dec,3424025
(주)엔아이스틸,10-Dec,28426680
(주)엔아이스틸,11-Dec,28426680
(주)엔아이스틸,12-Dec,28426680
(주)엔아이스틸,13-Dec,28426680
(주)엔아이스틸,14-Dec,28426680
(주)엔아이스틸,15-Dec,28426850
(주)엔아이스틸,16-Dec,28426850
(주)엔아이스틸,17-Dec,28426850
(주)엔아이스틸,18-Dec,28600117
(주)엔아이스틸,19-Dec,28600117
(주)엔아이스틸,20-Dec,28600117
(주)엔아이스틸,21-Dec,28600117
(주)엘에스,10-Dec,27767071
(주)엘에스,11-Dec,27767071
(주)엘에스,12-Dec,27767071
(주)엘에스,13-Dec,27767071
(주)엘에스,14-Dec,27767071
(주)엘에스,15-Dec,27767071
(주)엘에스,16-Dec,27767071
(주)엘에스,17-Dec,27767071
(주)엘에스,18-Dec,27767071
(주)엘에스,19-Dec,27767071
(주)엘에스,20-Dec,27767071
(주)엘에스,21-Dec,27767071
(주)엘에프,10-Dec,29240000
(주)엘에프,11-Dec,29240000
(주)엘에프,12-Dec,29240000
(주)엘에프,13-Dec,29240000
(주)엘에프,14-Dec,29240000
(주)엘에프,15-Dec,29240000
(주)엘에프,16-Dec,29240000
(주)엘에프,17-Dec,29240000
(주)엘에프,18-Dec,29240000
(주)엘에프,19-Dec,29240000
(주)엘에프,20-Dec,28460000
(주)엘에프,21-Dec,28460000
(주)유니드,10-Dec,6585069
(주)유니드,11-Dec,6585069
(주)유니드,12-Dec,6507269
(주)유니드,13-Dec,6585069
(주)유니드,14-Dec,6585069
(주)유니드,15-Dec,8888987
(주)유니드,16-Dec,8888987
(주)유니드,17-Dec,8888987
(주)유니드,18-Dec,8889843
(주)유니드,19-Dec,8889843
(주)유니드,20-Dec,8731843
(주)유니드,21-Dec,8731843
(주)유한양행,10-Dec,10294159
(주)유한양행,11-Dec,10331429
(주)유한양행,12-Dec,10319544
(주)유한양행,13-Dec,10182012
(주)유한양행,14-Dec,10071275
(주)유한양행,15-Dec,10037345
(주)유한양행,16-Dec,10037345
(주)유한양행,17-Dec,10639505
(주)유한양행,18-Dec,11125578
(주)유한양행,19-Dec,11655285
(주)유한양행,20-Dec,61174645
(주)유한양행,21-Dec,64022007
(주)한섬,10-Dec,21972714
(주)한섬,11-Dec,21969594
(주)한섬,12-Dec,21969594
(주)한섬,13-Dec,21969594
(주)한섬,14-Dec,21969594
(주)한섬,15-Dec,21969594
(주)한섬,16-Dec,21969594
(주)한섬,17-Dec,21969594
(주)한섬,18-Dec,21969594
(주)한섬,19-Dec,21969594
(주)한섬,20-Dec,21969594
(주)한섬,21-Dec,21969594
(주)한화,10-Dec,69078735
(주)한화,11-Dec,69078735
(주)한화,12-Dec,69078735
(주)한화,13-Dec,69078735
(주)한화,14-Dec,69078735
(주)한화,15-Dec,69078735
(주)한화,16-Dec,69078735
(주)한화,17-Dec,69078735
(주)한화,18-Dec,69078735
(주)한화,19-Dec,69078735
(주)한화,20-Dec,68898723
(주)한화,21-Dec,68687857
(주)현대백화점,10-Dec,22629560
(주)현대백화점,11-Dec,23035186
(주)현대백화점,12-Dec,23035186
(주)현대백화점,13-Dec,23035186
(주)현대백화점,14-Dec,23035186
(주)현대백화점,15-Dec,22791186
(주)현대백화점,16-Dec,22721186
(주)현대백화점,17-Dec,22557186
(주)현대백화점,18-Dec,22557186
(주)현대백화점,19-Dec,22323186
(주)현대백화점,20-Dec,22089186
(주)현대백화점,21-Dec,21855186
고려산업(주),10-Dec,4737885
고려산업(주),11-Dec,4827885
고려산업(주),12-Dec,4827884
고려산업(주),13-Dec,24139420
고려산업(주),14-Dec,24139420
고려산업(주),15-Dec,24139420
고려산업(주),16-Dec,24139420
고려산업(주),17-Dec,24671420
고려산업(주),18-Dec,24671420
고려산업(주),19-Dec,24671420
고려산업(주),20-Dec,24671420
고려산업(주),21-Dec,24671420
금강철강(주),10-Dec,16930017
금강철강(주),11-Dec,17347717
금강철강(주),12-Dec,17597680
금강철강(주),13-Dec,17512814
금강철강(주),14-Dec,17512814
금강철강(주),15-Dec,17497814
금강철강(주),16-Dec,17600677
금강철강(주),17-Dec,17200510
금강철강(주),18-Dec,16711295
금강철강(주),19-Dec,16568840
금강철강(주),20-Dec,16202996
금강철강(주),21-Dec,16202996
대상홀딩스(주),10-Dec,36212538
대상홀딩스(주),11-Dec,36212538
대상홀딩스(주),12-Dec,36212538
대상홀딩스(주),13-Dec,36212538
대상홀딩스(주),14-Dec,36212538
대상홀딩스(주),15-Dec,36212538
대상홀딩스(주),16-Dec,36212538
대상홀딩스(주),17-Dec,36212538
대상홀딩스(주),18-Dec,36212538
대상홀딩스(주),19-Dec,36212538
대상홀딩스(주),20-Dec,36212538
대상홀딩스(주),21-Dec,36212538
대정화금(주),10-Dec,5537272
대정화금(주),11-Dec,5793026
대정화금(주),12-Dec,5793026
대정화금(주),13-Dec,5793026
대정화금(주),14-Dec,5793026
대정화금(주),15-Dec,6048727
대정화금(주),16-Dec,6048727
대정화금(주),17-Dec,6202147
대정화금(주),18-Dec,7100391
대정화금(주),19-Dec,7100391
대정화금(주),20-Dec,7118191
대정화금(주),21-Dec,7173191
대한제당(주),10-Dec,3444460
대한제당(주),11-Dec,6656410
대한제당(주),12-Dec,6656410
대한제당(주),13-Dec,6656410
대한제당(주),14-Dec,7987692
대한제당(주),15-Dec,7987692
대한제당(주),16-Dec,8257692
대한제당(주),17-Dec,8257692
대한제당(주),18-Dec,8257692
대한제당(주),19-Dec,8397692
대한제당(주),20-Dec,8284314
대한제당(주),21-Dec,89696580
대한제분(주),10-Dec,1642744
대한제분(주),11-Dec,1642744
대한제분(주),12-Dec,1642744
대한제분(주),13-Dec,1642744
대한제분(주),14-Dec,1642744
대한제분(주),15-Dec,1642744
대한제분(주),16-Dec,1642744
대한제분(주),17-Dec,1645224
대한제분(주),18-Dec,1645224
대한제분(주),19-Dec,1645224
대한제분(주),20-Dec,1645224
대한제분(주),21-Dec,1645224
세방전지(주),10-Dec,14000000
세방전지(주),11-Dec,14000000
세방전지(주),12-Dec,14000000
세방전지(주),13-Dec,13942816
세방전지(주),14-Dec,13894372
세방전지(주),15-Dec,13743177
세방전지(주),16-Dec,13743177
세방전지(주),17-Dec,13743177
세방전지(주),18-Dec,13744377
세방전지(주),19-Dec,13744377
세방전지(주),20-Dec,13402030
세방전지(주),21-Dec,13406110
에스케이텔레콤(주),10-Dec,71094999
에스케이텔레콤(주),11-Dec,69694999
에스케이텔레콤(주),12-Dec,69694999
에스케이텔레콤(주),13-Dec,70936336
에스케이텔레콤(주),14-Dec,70936336
에스케이텔레콤(주),15-Dec,70609160
에스케이텔레콤(주),16-Dec,70609160
에스케이텔레콤(주),17-Dec,70609160
에스케이텔레콤(주),18-Dec,71869828
에스케이텔레콤(주),19-Dec,73136448
에스케이텔레콤(주),20-Dec,71327153
에스케이텔레콤(주),21-Dec,217582152
태경산업(주),10-Dec,29228750
태경산업(주),11-Dec,29228750
태경산업(주),12-Dec,29228750
태경산업(주),13-Dec,29228750
태경산업(주),14-Dec,29228750
태경산업(주),15-Dec,29228750
태경산업(주),16-Dec,29228750
태경산업(주),17-Dec,29228750
태경산업(주),18-Dec,28935581
태경산업(주),19-Dec,28883076
태경산업(주),20-Dec,28883076
태경산업(주),21-Dec,28514997
태경케미컬(주),10-Dec,11600000
태경케미컬(주),11-Dec,11600000
태경케미컬(주),12-Dec,11600000
태경케미컬(주),13-Dec,11600000
태경케미컬(주),14-Dec,11600000
태경케미컬(주),15-Dec,11600000
태경케미컬(주),16-Dec,11600000
태경케미컬(주),17-Dec,11600000
태경케미컬(주),18-Dec,11523426
태경케미컬(주),19-Dec,11435439
태경케미컬(주),20-Dec,11333899
태경케미컬(주),21-Dec,11333899
